Countries,count_of_Earthquakes
China,502
Indonesia,377
Iran,309
Japan,308
Italy,252
Turkey,228
Philippines,214
Greece,205
Chile,191
Mexico,188
Peru,162
Russia,148
California,101
Papua New Guinea,99
Taiwan,95
India,91
Alaska,77
Balkans Nw,74
Colombia,73
Venezuela,62
Solomon Islands,61
New Zealand,60
Ecuador,58
Algeria,54
Afghanistan,53
Vanuatu Islands,50
Pakistan,50
Albania,46
Nicaragua,39
El Salvador,35
Guatemala,35
France,31
Myanmar (Burma),27
Costa Rica,25
Azores,23
Tajikistan,23
Australia,22
Argentina,20
New Caledonia,20
Jamaica,19
Morocco,18
Kermadec Islands,18
Fiji Islands,18
Tonga Islands,17
Switzerland,16
Dominican Republic,16
Bangladesh,16
Canada,16
Panama,16
Haiti,16
Spain,16
Bulgaria,15
Puerto Rico,15
Romania,14
Guam,14
Cuba,14
South Africa,14
Iceland,14
Ethiopia,13
Kyrgyzstan,13
Azerbaijan,13
Sanriku,12
Portugal,11
Nepal,10
Uzbekistan,10
Honduras,10
Hawaii,10
Georgia,10
Guadeloupe,9
Martinique,9
Egypt,9
Kazakhstan,9
Utah,8
United Kingdom,8
Germany,8
South Korea,8
Ukraine,7
Iraq,7
Greece-Albania,7
Virgin Islands,7
Armenia,7
Mongolia,7
Costa Rica-Panama,7
Nevada,7
Trinidad,6
Poland,6
Brazil,6
Oklahoma,6
Israel,6
Samoa Islands,6
Tanzania,6
New York,6
Montana,6
Congo,6
Bhutan,5
Panama-Costa Rica,5
South Sandwich Islands,5
Washington,5
Hungary,5
Micronesia,5
Tokaido,5
Ghana,5
Turkmenistan,5
Sw. Sumatra,5
Tunisia,5
S. Mexico,5
Tonga Trench,5
Atlantic Ocean,4
Syria,4
Nepal-India,4
Peru-Ecuador,4
Alaska Peninsula,4
Yemen,4
Vanuatu,4
Seikaido,4
Malawi,4
Austria,4
Sudan,4
Indian Ocean,4
Hawaiian Islands,4
Rwanda,4
Saudi Arabia,3
Missouri,3
Malaysia,3
Bolivia,3
Mozambique,3
Myanmar,3
Pennsylvania,3
Se. Hokkaido Island,3
Colombia-Ecuador,3
S. Java Sea,3
Kashima,3
The Netherlands,3
Northern Mariana Islands,3
Uganda,3
Thailand,3
Samoa,2
Saint Lucia,2
Togo,2
Vietnam,2
Peru-Chile,2
Slovakia,2
Peru-Brazil,2
Panama-Colombia,2
W. Hokkaido Island,2
W. Luzon Island,2
Scotia Sea,2
N. Mexico,2
N. New Zealand,2
North Korea,2
Wyoming,2
W. Solomon Sea,2
Zambia,2
El Salvador-Guatemala,2
Cote D'Ivoire,2
Cameroon,2
India-Bangladesh,2
Idaho,2
British Columbia,2
Iwate,2
Japan Trench,2
Boso,2
Chile-Argentina,2
Jordan,2
Kentucky,2
Bolivia-Northern Chile,2
Colorado,2
India-China,2
Greece-Bulgaria,2
Canary Islands,2
Arkansas,2
Afghanistan-Tajikistan,2
Cyprus,2
Flores Sea,2
Lebanon,2
Lebanon-Syria,2
Sierra Leone,1
Tobago,1
E. Luzon Island,1
Timor Sea,1
Slovenia,1
Cascadia Subduction Zone,1
E. Hokkaido Island,1
Central African Republic,1
Texas,1
Tasman Sea,1
E. Awa,1
South Carolina,1
Sw. Kyushu Island,1
Djibouti,1
Czech Republic,1
Colombia-Panama,1
Taiwan Region,1
Sri Lanka,1
Connecticut,1
Costa Rica-Nicaragua,1
Comoros,1
Trinidad & St. Christopher,1
California-Nevada,1
Burundi,1
Alabama,1
Yellow Sea,1
Yayesshiro,1
Anatahan Region,1
Washington-Oregon Border,1
Antarctica,1
Antigua,1
Antigua And Barbuda,1
W. Kyushu Island,1
Antigua Island & St. Christopher,1
Virginia,1
Armenia-Azerbaijan-Iran,1
Venezuela-N Colombia,1
Balkans,1
Balleny Islands,1
Barbados,1
Belgium,1
Bering Sea,1
Uruguay,1
Bolivia-Peru,1
Uk,1
Bosnia-Herzegovina,1
Turkey-Cis,1
Boston And Salem,1
Seionaikai,1
British Virgin Islands,1
Toyama Pref.,1
Shinano,1
Mexico-Guatemala,1
Seikaido-Nankaido,1
Nemuro,1
Nw. Hokkaido Island,1
Noshiro,1
Norway,1
North Corinth Gulf,1
North Atlantic Ridge,1
Java-S. Java Sea,1
New Jersey,1
New Hampshire,1
Kenya,1
Nevada-California Border,1
Kiribati,1
Koori,1
Lake Erie (Great Lakes),1
Ne. Hokkaido Island,1
E. Sporades Islands,1
N. Sanriku,1
Laos,1
Lara,1
Mynamar (Burma),1
Myanmar (Burma) Coast,1
Lhoknga,1
Libya,1
Montserrat,1
Montenegro,1
Madagascar,1
Miyakojima,1
Martinique & Barbados,1
Mindanao Island,1
Nw. Honshu Island,1
Off Coast Sw Avalon Peninsula,1
Italy-Balkans Nw,1
Oregon,1
Sea Of Japan,1
Se. New Zealand,1
East Pacific Ridge,1
Massachusetts,1
Enshunada,1
Eritrea,1
Fiji,1
Saint Vincent,1
French Guiana,1
French Polynesia,1
Futuna Island,1
Gabon,1
Gisborne,1
Greece-Bulgaria Border Region,1
Grenada,1
Grfece,1
Guinea,1
Gulf Of Mexico,1
Honduras-Guatemala-El Salvador,1
Honshu Island,1
Peru-Bolivia,1
Ibaraki,1
Illinois,1
India-Bangladesh Border,1
Pakistan-Nw Afghanistan,1
Indonesia-Malaysia,1
Pacific Ocean,1
Macquarie Island,1
